Diện tích,Phòng ngủ,Số tầng,Số toilet,Số phòng khách,Loại địa ốc,Địa chỉ,Pháp lý,Hướng nhà,Đường trước nhà,Giá nhà,tag
128.4m2,,,,,Bán đất thổ cư," Lê Hồng Nhi, Lê Bình, Cái Răng, TP. Cần Thơ",,,,2 tỷ 490 triệu,can_tho
1128m2,26.0,4.0,28.0,1.0,Bán nhà hàng - Khách sạn," 62 Nguyễn Hữu Trí, Cái Khế, Ninh Kiều, TP. Cần Thơ",Sổ hồng,Bắc,7m,45 tỷ,can_tho
40m2,,,,,Bán đất thổ cư," Xuân Khánh, Ninh Kiều, TP. Cần Thơ",,,2m,1 tỷ 530 triệu,can_tho
95m2,,,,,Bán nhà riêng," J, Đường Quốc lộ 1A, Hưng Thạnh, Cái Răng, TP. Cần Thơ",,,,6 tỷ,can_tho
54.3m2,,,,,Bán đất thổ cư," Hẻm 48, Huỳnh Phan Hộ, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 490 triệu,can_tho
58m2,,,,,Bán đất thổ cư," Trần Hưng Đạo, An Nghiệp, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 150 triệu,can_tho
40m2,,,,,Bán nhà riêng," Hẻm 90, Hùng Vương, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ,can_tho
75m2,,,,,Bán nhà riêng," Hẻm 311, Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 990 triệu,can_tho
85m2,,,,,Bán đất thổ cư," Khu dân cư Hồng Loan, Quốc Lộ I, Cái Răng, TP. Cần Thơ",,,,1 tỷ 950 triệu,can_tho
80m2,,,,,Bán nhà riêng," Hẻm 388, Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 650 triệu,can_tho
42.75m2,2.0,1.0,2.0,1.0,Bán nhà phố dự án," Hẻm 388, Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",Sổ hồng,Đông Bắc,4m,2 tỷ 650 triệu,can_tho
84m2,,,,,Bán nhà riêng," Hẻm 112, Hoàng Quốc Việt, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 450 triệu,can_tho
92m2,,,,,Bán nhà riêng," Hàng Gòn, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,2 tỷ 150 triệu,can_tho
80m2,,,,,Bán nhà riêng," Hẻm 388, Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 650 triệu,can_tho
80m2,,,,,Bán nhà riêng," Hẻm 11, Nguyễn Văn Linh, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 950 triệu,can_tho
93.7m2,,,,,Bán nhà phố dự án," Khu dân cư 3a, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 350 triệu,can_tho
40m2,,,,,Bán nhà phố dự án," Hẻm 90, Hùng Vương, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,30 triệu /m2,can_tho
78m2,,,,,Bán căn hộ chung cư," Hẻm 44, Cách mạng tháng Tám, Lê Thiện, Bình Thủy, TP. Cần Thơ",,,,2 tỷ,can_tho
263m2,,,,,Bán đất thổ cư," hẻm 135, An Thới, Bình Thủy, TP. Cần Thơ",Giấy đỏ,,6m,26 triệu /m2,can_tho
42.9m2,,,,,Bán đất thổ cư," Hẻm 287, Nguyễn Thông, An Thới, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 590 triệu,can_tho
122m2,,,,,Bán đất thổ cư," Hẻm 10, Bùi Hữu Nghĩa, Lê Thiện, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 350 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Hẻm 11, Nguyễn Văn Linh, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2.050 tỷ,can_tho
300m2,,,,,Bán nhà phố dự án," Quốc Lộ I, Hưng Thạnh, Cái Răng, TP. Cần Thơ",,,,6 tỷ 800 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Quang Trung, Tân An, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 450 triệu,can_tho
85m2,,,,,Bán nhà phố dự án," Khu đô thị mới Đại Ngân, Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 150 triệu,can_tho
57.6m2,,,,,Bán nhà phố dự án," 182, Xô Viết Nghệ Tĩnh, Ninh Kiều, TP. Cần Thơ",,,,7 tỷ 600 triệu,can_tho
129m2,,,,,Bán đất thổ cư," 932, TT. Prao, Phong Điền, TP. Cần Thơ",,,,1 tỷ 200 triệu,can_tho
308m2,,,,,Bán đất thổ cư," Tỉnh 923, Xã Huổi Mí, Phong Điền, TP. Cần Thơ",,,,1 tỷ 400 triệu,can_tho
86m2,,,,,Bán nhà phố dự án," Hẻm 311, Nguyễn Văn Cừ, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 100 triệu,can_tho
129m2,,,,,Bán đất thổ cư," Tỉnh lộ 932, TT. Prao, Phong Điền, TP. Cần Thơ",,,,1 tỷ 390 triệu,can_tho
96m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 950 triệu,can_tho
82m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 600 triệu,can_tho
76.3m2,,,,,Bán căn hộ chung cư," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 990 triệu,can_tho
130.5m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 600 triệu,can_tho
70m2,,,,,Bán nhà phố dự án," Mậu Thân, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 590 triệu,can_tho
52m2,,,,,Bán căn hộ chung cư," Số 1, Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 530 triệu,can_tho
82m2,,,,,Bán căn hộ chung cư," Số 1, Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 497 triệu,can_tho
92m2,,,,,Bán căn hộ chung cư," Số 1, Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,634 triệu,can_tho
138m2,,,,,Bán đất thổ cư," TT. Prao, Phong Điền, TP. Cần Thơ",,,,950 triệu,can_tho
80m2,,,,,Bán đất thổ cư," Quốc Lộ I, Hưng Thạnh, Cái Răng, TP. Cần Thơ",,,,3 tỷ,can_tho
44m2,,,,,Bán căn hộ chung cư," Số 1, Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,367 triệu,can_tho
96m2,,,,,Bán nhà riêng," Hèm 192, Nguyễn Thông, An Thới, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 450 triệu,can_tho
82.4m2,,,,,Bán nhà riêng," Hẻm 113, Hoàng Quốc Việt, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 450 triệu,can_tho
44m2,,,,,Bán nhà phố dự án," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 275 triệu,can_tho
95.7m2,,,,,Bán đất thổ cư," Hẻm 31, Đồng Ngọc Sứ, An Thới, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 650 triệu,can_tho
40m2,,,,,Bán đất thổ cư," An Hòa, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 350 triệu,can_tho
50m2,,,,,Bán đất thổ cư," Hẻm 388, Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 250 triệu,can_tho
33.6m2,,,,,Bán nhà riêng," Hẻm 128, Nguyễn Thị Minh Khai, Tân An, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 390 triệu,can_tho
1551m2,,,,,Bán đất thổ cư," Huỳnh Thị Nỡ, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,7 tỷ 500 triệu,can_tho
61m2,,,,,Bán căn hộ chung cư," Số 1, Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,454 triệu,can_tho
58.4m2,,,,,Bán căn hộ chung cư," Đường Quốc lộ 1A, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,960 triệu,can_tho
47.9m2,,,,,Bán căn hộ chung cư," QL1A, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,850 triệu,can_tho
60m2,,,,,Bán nhà phố dự án," Hẻm 6, Bùi Thị Xuân, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 700 triệu,can_tho
56m2,,,,,Bán nhà phố dự án," Vành Đai Phi Trường, An Thới, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 590 triệu,can_tho
75.6m2,,,,,Bán đất thổ cư," Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,4 tỷ 190 triệu,can_tho
46.5m2,,,,,Bán nhà phố dự án," Lê Bình, Cái Răng, TP. Cần Thơ",,,,2 tỷ 90 triệu,can_tho
46.2m2,,,,,Bán nhà phố dự án," Phan Đình Phùng, Tân An, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 490 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Hẻm 107, Hoàng Văn Thụ, An Cư, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 950 triệu,can_tho
130.5m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 600 triệu,can_tho
125m2,,,,,Bán đất thổ cư," Hẻm 7, Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 480 triệu,can_tho
170m2,,,,,Bán nhà phố dự án," Lê anh xuân, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,4 tỷ 490 triệu,can_tho
82m2,,,,,Bán căn hộ chung cư," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 498 triệu,can_tho
58.4m2,,,,,Bán căn hộ chung cư," QL1A, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,630 triệu,can_tho
100m2,,,,,Bán đất thổ cư," Long Hòa, Bình Thủy, TP. Cần Thơ",Sổ hồng,Tây Bắc,5m,1 tỷ 600 triệu,can_tho
92m2,,,,,Bán nhà phố dự án," Hẻm 557, Trần Quang Diệu, An Thới, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 350 triệu,can_tho
61m2,,,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 830 triệu,can_tho
65m2,,,,,Bán nhà phố dự án," Quang Trung, Xuân Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 300 triệu,can_tho
42m2,,23.0,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 240 triệu,can_tho
1551.2m2,,,,,Bán đất thổ cư," Huỳnh Thị Nỡ, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,7 tỷ 500 triệu,can_tho
71m2,,,,,Bán đất thổ cư," Tỉnh 923, Xã Si Pa Phìn, Phong Điền, TP. Cần Thơ",,,,560 triệu,can_tho
49m2,,,,,Bán đất thổ cư," Trần Phú, Cái Khế, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ,can_tho
48m2,,,,,Bán căn hộ chung cư," QL1A, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,334 triệu,can_tho
60m2,,,,,Bán nhà phố dự án," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 730 triệu,can_tho
101.3m2,,,,,Bán đất thổ cư," Đường Quốc lộ 1A, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,1 tỷ 990 triệu,can_tho
308m2,,,,,Bán đất thổ cư," Tỉnh 923, Xã Si Pa Phìn, Phong Điền, TP. Cần Thơ",,,,1 tỷ 500 triệu,can_tho
60m2,,,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 730 triệu,can_tho
101.3m2,,,,,Bán đất thổ cư," Quốc Lộ I, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,1 tỷ 990 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Đường Nguyễn Văn Linh, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 670 triệu,can_tho
93.7m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 570 triệu,can_tho
42m2,,,,,Bán nhà phố dự án," Hùng Vương, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 500 triệu,can_tho
65.1m2,,,,,Bán đất thổ cư," Quốc Lộ 91, Phước Thới, Ô Môn, TP. Cần Thơ",,,,1 tỷ 150 triệu,can_tho
82m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 599 triệu,can_tho
151m2,,,,,Bán nhà phố dự án," Lê Hồng Nhi, Ba Láng, Cái Răng, TP. Cần Thơ",,,,3 tỷ 680 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, Long Tuyền, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 200 triệu,can_tho
30m2,,,,,Bán nhà phố dự án," Bùi Thị Xuân, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 770 triệu,can_tho
103m2,,,,,Bán đất thổ cư," Nguyễn Thông, An Thới, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 200 triệu,can_tho
55m2,,,,,Bán nhà phố dự án," Trần Việt Châu, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 560 triệu,can_tho
96m2,,,,,Bán nhà phố dự án," Trần Nam Phú, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 550 triệu,can_tho
65m2,,,,,Bán nhà phố dự án," Cách Mạng Tháng Tám, Cái Khế, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 500 triệu,can_tho
200m2,,,,,Bán nhà phố dự án," Nguyễn Văn Trường, Long Tuyền, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 500 triệu,can_tho
130m2,,,,,Bán nhà phố dự án," Nguyễn Văn Linh, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 99 triệu,can_tho
106m2,,,,,Bán đất thổ cư," Tỉnh 923, Xã Mường Tùng, Phong Điền, TP. Cần Thơ",,,,1 tỷ 700 triệu,can_tho
42.1m2,,,,,Bán nhà phố dự án," Trần Quang Diệu, An Thới, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 400 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," QL1A, Ba Láng, Cái Răng, TP. Cần Thơ",,,,1 tỷ 840 triệu,can_tho
45m2,,,,,Bán nhà riêng," Bùi Thị Xuân, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 550 triệu,can_tho
129m2,,,,,Bán đất thổ cư," TT. Prao, Phong Điền, TP. Cần Thơ",,,,1 tỷ 390 triệu,can_tho
64m2,,,,,Bán đất thổ cư," Nguyễn Văn Cừ Nối Dài, Xã Mường Tùng, Phong Điền, TP. Cần Thơ",,,,1 tỷ 500 triệu,can_tho
69m2,,,,,Bán đất thổ cư," Vành Đai Phi Trường, Long Hòa, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 300 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Trần Nam Phú, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 450 triệu,can_tho
156m2,,,,,Bán nhà phố dự án," Lý Tự Trọng, An Phú, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 950 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Quang Trung, Tân An, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 580 triệu,can_tho
65m2,,,,,Bán nhà phố dự án," Quang Trung, Xuân Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 300 triệu,can_tho
165m2,,,,,Bán nhà phố dự án," Cách mạng tháng Tám, An Thới, Bình Thủy, TP. Cần Thơ",,,,3 tỷ 530 triệu,can_tho
60m2,,,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 730 triệu,can_tho
44m2,,,,,Bán nhà phố dự án," Hẻm 118, Hùng Vương, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 350 triệu,can_tho
149m2,,,,,Bán nhà phố dự án," Quốc Lộ 91, Phước Thới, Ô Môn, TP. Cần Thơ",,,,1 tỷ 650 triệu,can_tho
119m2,,,,,Bán đất thổ cư," Lê Hồng Nhi, Ba Láng, Cái Răng, TP. Cần Thơ",,,,2 tỷ 500 triệu,can_tho
140m2,,,,,Bán đất thổ cư," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 850 triệu,can_tho
430m2,,,,,Bán đất thổ cư," 926, Dương Quang, Phong Điền, TP. Cần Thơ",,,,2 tỷ 200 triệu,can_tho
70m2,,,,,Bán nhà phố dự án," Trần Nam Phú, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 500 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 280 triệu,can_tho
60m2,,,,,Bán nhà phố dự án," Huỳnh THúc Kháng, An Nghiệp, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 450 triệu,can_tho
81m2,,,,,Bán đất thổ cư," 30 tháng 4, Hưng Lợi, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 990 triệu,can_tho
71m2,,,,,Bán đất thổ cư," Mỹ Khánh - Bông Vang, Xã Si Pa Phìn, Phong Điền, TP. Cần Thơ",,,,560 triệu,can_tho
56m2,,,,,Bán đất thổ cư," Nguyễn Văn Cừ, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 520 triệu,can_tho
100m2,,,,,Bán đất thổ cư," Võ Nguyên Giáp, Phú Thứ, Cái Răng, TP. Cần Thơ",,,,2 tỷ 700 triệu,can_tho
40m2,,,,,Bán đất thổ cư," Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 649 triệu,can_tho
90m2,,,,,Bán nhà phố dự án," Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 350 triệu,can_tho
90m2,,,,,Bán đất thổ cư," Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 649 triệu,can_tho
2632m2,,,,,Bán đất thổ cư," 932, TT. Prao, Phong Điền, TP. Cần Thơ",,,,2 triệu /m2,can_tho
170m2,,,,,Bán đất thổ cư," Trương Vĩnh Nguyên, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,2 tỷ 350 triệu,can_tho
65m2,,,,,Bán đất thổ cư," Quốc Lộ 91B, Long Tuyền, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 290 triệu,can_tho
250m2,,,,,Bán đất thổ cư," Huỳnh Thị Nỡ, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,3 tỷ 500 triệu,can_tho
55m2,,,,,Bán đất thổ cư," Võ Tánh, Ba Láng, Cái Răng, TP. Cần Thơ",,,,1 tỷ 430 triệu,can_tho
125m2,,,,,Bán đất thổ cư," Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 680 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Hoàng Văn Thụ, An Cư, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 950 triệu,can_tho
94.9m2,,,,,Bán đất thổ cư," Đặng Văn Đầy, Xã Tà Lèng, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 400 triệu,can_tho
51.9m2,,,,,Bán đất thổ cư," An Hòa, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 290 triệu,can_tho
90m2,,,,,Bán nhà phố dự án," Trần Nam Phú, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 790 triệu,can_tho
11.3m2,,,,,Bán đất thổ cư," Võ Văn Kiệt, Xã Tà Lèng, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 200 triệu,can_tho
159m2,,,,,Bán đất thổ cư," Bùi Hữu Nghĩa, Long Tuyền, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 699 triệu,can_tho
100m2,,,,,Bán đất thổ cư," Trần Quang Diệu, An Thới, Bình Thủy, TP. Cần Thơ",,,,3 tỷ 399 triệu,can_tho
110m2,,,,,Bán đất thổ cư," Võ Văn Kiệt, Xã Tà Lèng, Bình Thủy, TP. Cần Thơ",,,,3 tỷ 723 triệu,can_tho
151m2,,,,,Bán nhà phố dự án," Trần Vĩnh Kiết, An Bình, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 990 triệu,can_tho
56.2m2,,,,,Bán đất thổ cư," Lê anh xuân, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 250 triệu,can_tho
65m2,,,,,Bán nhà riêng," An Thới, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 100 triệu,can_tho
78m2,,,,,Bán nhà phố dự án," Cách Mạng Tháng Tám, Cái Khế, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 450 triệu,can_tho
88m2,,,,,Bán nhà phố dự án," Nguyễn Văn Cừ, An Hòa, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 280 triệu,can_tho
18m2,,,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,7 tỷ 500 triệu,can_tho
60m2,,,,,Bán nhà phố dự án," Bùi Thị Xuân, Thới Bình, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 290 triệu,can_tho
250m2,,,,,Bán đất thổ cư," Huỳnh Thị Nỡ, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,3 tỷ 500 triệu,can_tho
204m2,,,,,Bán đất thổ cư," Phú Thứ, Cái Răng, TP. Cần Thơ",,,,1 tỷ 649 triệu,can_tho
91m2,,,,,Bán nhà phố dự án," Cách mạng tháng Tám, Lê Thiện, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 870 triệu,can_tho
60m2,,,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 702 triệu,can_tho
72m2,3.0,4.0,4.0,1.0,Bán biệt thự," Trương Vĩnh Nguyên, Thường Thạnh, Cái Răng, TP. Cần Thơ",Sổ hồng,,15m - 20m,980 triệu,can_tho
28.3m2,,,,,Bán nhà riêng," Hẻm 99, 30 tháng 4, Xuân Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 290 triệu,can_tho
1551m2,,,,,Bán đất thổ cư," Huỳnh Thị Nỡ, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,7 tỷ 500 triệu,can_tho
72m2,3.0,3.0,4.0,1.0,Bán nhà phố dự án," Trương Vĩnh Nguyên, Thường Thạnh, Cái Răng, TP. Cần Thơ",Sổ hồng,,15m - 20m,3 tỷ 600 triệu,can_tho
111m2,,,,,Bán đất thổ cư," Võ Văn Kiệt, Xã Tà Lèng, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 200 triệu,can_tho
42m2,,,,,Bán căn hộ chung cư," Trần Bạch Đằng, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 190 triệu,can_tho
42.2m2,,,,,Bán đất thổ cư," Hẻm 558, Trần Quang Diệu, An Thới, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 690 triệu,can_tho
104m2,,,,,Bán đất thổ cư," Nguyễn Văn Linh, An Khánh, Ninh Kiều, TP. Cần Thơ",,,,3 tỷ 350 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," Hẻm 135, Đồng Văn Cống, An Thới, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 550 triệu,can_tho
90m2,,,,,Bán đất thổ cư," Võ Nguyên Giáp, Phú Thứ, Cái Răng, TP. Cần Thơ",,,,3 tỷ 300 triệu,can_tho
40.5m2,,,,,Bán nhà phố dự án," Long Tuyền, Bình Thủy, TP. Cần Thơ",,,,2 tỷ 200 triệu,can_tho
88.75m2,4.0,2.0,4.0,1.0,Bán nhà phố dự án," Hưng Thạnh, Cái Răng, TP. Cần Thơ",Sổ hồng,Tây Nam,10m - 15m,6 tỷ,can_tho
72m2,4.0,3.0,5.0,1.0,Bán nhà phố dự án," Hưng Phú, Cái Răng, TP. Cần Thơ",Sổ hồng,Đông Nam,15m - 20m,7 tỷ 500 triệu,can_tho
42m2,,,,,Bán đất thổ cư," Cách mạng tháng Tám, An Thới, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 299 triệu,can_tho
80m2,4.0,2.0,4.0,1.0,Bán nhà phố dự án," Hưng Thạnh, Cái Răng, TP. Cần Thơ",Sổ hồng,Đông Nam,15m - 20m,5 tỷ 800 triệu,can_tho
58m2,,,,,Bán căn hộ chung cư," Ba Láng, Cái Răng, TP. Cần Thơ",,,,1 tỷ 60 triệu,can_tho
315m2,,,,,Bán nhà phố dự án," Võ Nguyên Giáp, Phú Thứ, Cái Răng, TP. Cần Thơ",,,,4 tỷ 790 triệu,can_tho
7400m2,,,,,Bán đất thổ cư," Quốc Lộ 91, Trung Kiên, Thốt Nốt, TP. Cần Thơ",,,,12 tỷ,can_tho
52m2,,,,,Bán nhà phố dự án," An Khánh, Ninh Kiều, TP. Cần Thơ",,,,1 tỷ 479 triệu,can_tho
193m2,,,,,Bán đất thổ cư," B11, Võ Nguyên Giáp, Hưng Thạnh, Cái Răng, TP. Cần Thơ",,,,8 tỷ 690 triệu,can_tho
80m2,,,,,Bán nhà phố dự án," An Khánh, Ninh Kiều, TP. Cần Thơ",Sổ hồng,,4m,2 tỷ 670 triệu,can_tho
80m2,2.0,2.0,2.0,1.0,Bán nhà phố dự án," An Khánh, Ninh Kiều, TP. Cần Thơ",Sổ hồng,,4m,2 tỷ 670 triệu,can_tho
127.2m2,4.0,2.0,3.0,1.0,Bán nhà riêng," Đs25, An khánh, An Khánh, Ninh Kiều, TP. Cần Thơ",Sổ hồng,Đông Bắc,10m - 15m,3 tỷ 550 triệu,can_tho
36m2,1.0,24.0,1.0,,Bán căn hộ chung cư," Lock A, Thượng Lâm, Ninh Kiều, TP. Cần Thơ",Sổ hồng,Đông Nam,70m - 100m,39 triệu /m2,can_tho
159m2,,,,,Bán nhà phố dự án," Tỉnh 918, Long Tuyền, Bình Thủy, TP. Cần Thơ",,,,1 tỷ 700 triệu,can_tho
129m2,,,,,Bán nhà phố dự án," 3 tháng 2, Hưng Lợi, Ninh Kiều, TP. Cần Thơ",,,,2 tỷ 550 triệu,can_tho
250m2,,,,,Bán đất thổ cư," Huỳnh Thị Nỡ, Thường Thạnh, Cái Răng, TP. Cần Thơ",,,,3 tỷ 500 triệu,can_tho
53m2,3.0,2.0,4.0,1.0,Bán nhà riêng," Võ Trường Toản, An Hòa, Ninh Kiều, TP. Cần Thơ",Sổ hồng,Đông Nam,3m,3 tỷ 950 triệu,can_tho
